cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      70     alloca          64     0    48       16    
1      71     alloca          64     2    50       12    
2      72     alloca          64     5    50       9     
3      76     load            64     59   0        5     
4      77     icmp            1      1    0        0     
5      79     getelementptr   64     13   51       0     
6      80     load            64     1    0        63    
7      81     load            64     8    24       32    
8      82     trunc           32     8    24       0     
9      0      alloca          64     1    52       11    
10     1      alloca          64     2    53       9     
11     2      alloca          64     3    51       10    
12     3      alloca          64     4    51       9     
13     4      alloca          64     1    51       12    
14     5      alloca          64     2    53       9     
15     10     load            32     8    24       0     
16     11     load            32     32   0        0     
17     12     load            32     29   1        2     
18     13     ashr            32     32   0        0     
19     14     add             32     32   0        0     
20     15     load            32     1    0        31    
21     16     srem            32     1    0        31    
22     17     icmp            1      1    0        0     
23     18     select          32     8    24       0     
24     19     sub             32     32   0        0     
25     20     sub             32     8    24       0     
26     24     load            32     27   0        5     
27     25     load            32     1    0        31    
28     26     icmp            1      1    0        0     
29     28     load            64     13   51       0     
30     29     getelementptr   64     13   51       0     
31     33     load            32     31   1        0     
32     34     add             32     31   1        0     
33     24     load            32     27   0        5     
34     25     load            32     1    0        31    
35     26     icmp            1      1    0        0     
36     28     load            64     13   51       0     
37     29     getelementptr   64     12   52       0     
38     33     load            32     31   1        0     
39     34     add             32     31   1        0     
40     24     load            32     27   0        5     
41     25     load            32     1    0        31    
42     26     icmp            1      1    0        0     
43     28     load            64     14   50       0     
44     29     getelementptr   64     12   52       0     
45     33     load            32     31   1        0     
46     34     add             32     31   1        0     
47     24     load            32     27   0        5     
48     25     load            32     1    0        31    
49     26     icmp            1      1    0        0     
50     28     load            64     12   52       0     
51     29     getelementptr   64     15   49       0     
52     33     load            32     31   1        0     
53     34     add             32     31   1        0     
54     24     load            32     27   0        5     
55     25     load            32     1    0        31    
56     26     icmp            1      1    0        0     
57     28     load            64     15   49       0     
58     29     getelementptr   64     13   51       0     
59     33     load            32     31   1        0     
60     34     add             32     31   1        0     
61     24     load            32     27   0        5     
62     25     load            32     1    0        31    
63     26     icmp            1      1    0        0     
64     28     load            64     14   50       0     
65     29     getelementptr   64     13   51       0     
66     33     load            32     31   1        0     
67     34     add             32     31   1        0     
68     24     load            32     27   0        5     
69     25     load            32     1    0        31    
70     26     icmp            1      1    0        0     
71     28     load            64     15   49       0     
72     29     getelementptr   64     14   50       0     
73     33     load            32     31   1        0     
74     34     add             32     31   1        0     
75     24     load            32     28   0        4     
76     25     load            32     2    0        30    
77     26     icmp            1      1    0        0     
78     28     load            64     14   50       0     
79     29     getelementptr   64     14   50       0     
80     33     load            32     31   1        0     
81     34     add             32     31   1        0     
82     24     load            32     27   0        5     
83     25     load            32     2    0        30    
84     26     icmp            1      1    0        0     
85     28     load            64     15   49       0     
86     29     getelementptr   64     14   50       0     
87     33     load            32     31   1        0     
88     34     add             32     31   1        0     
89     24     load            32     27   0        5     
90     25     load            32     2    0        30    
91     26     icmp            1      1    0        0     
92     28     load            64     14   50       0     
93     29     getelementptr   64     15   49       0     
94     33     load            32     31   1        0     
95     34     add             32     31   1        0     
96     24     load            32     27   0        5     
97     25     load            32     2    0        30    
98     26     icmp            1      1    0        0     
99     28     load            64     13   51       0     
100    29     getelementptr   64     15   49       0     
101    33     load            32     31   1        0     
102    34     add             32     31   1        0     
103    24     load            32     28   0        4     
104    25     load            32     3    0        29    
105    26     icmp            1      1    0        0     
106    28     load            64     11   53       0     
107    29     getelementptr   64     14   50       0     
108    33     load            32     31   1        0     
109    34     add             32     31   1        0     
110    24     load            32     27   0        5     
111    25     load            32     3    0        29    
112    26     icmp            1      1    0        0     
113    28     load            64     15   49       0     
114    29     getelementptr   64     12   52       0     
115    33     load            32     31   1        0     
116    34     add             32     31   1        0     
117    24     load            32     28   0        4     
118    25     load            32     4    0        28    
119    26     icmp            1      1    0        0     
120    28     load            64     12   52       0     
121    29     getelementptr   64     11   53       0     
122    33     load            32     31   1        0     
123    34     add             32     31   1        0     
124    24     load            32     28   0        4     
125    25     load            32     5    0        27    
126    26     icmp            1      1    0        0     
127    28     load            64     13   51       0     
128    29     getelementptr   64     14   50       0     
129    33     load            32     3    1        28    
130    34     add             32     4    1        27    
131    24     load            32     5    0        27    
132    25     load            32     27   0        5     
133    26     icmp            1      1    0        0     
134    38     load            32     8    24       0     
135    39     add             32     8    24       0     
136    41     icmp            1      1    0        0     
137    43     load            64     1    0        63    
138    44     load            32     6    0        26    
139    45     zext            64     6    0        58    
140    46     ashr            64     1    0        63    
141    47     and             64     8    0        56    
142    48     add             64     8    0        56    
143    49     trunc           8      8    0        0     
144    50     load            64     16   48       0     
145    51     getelementptr   64     14   50       0     
146    54     load            32     0    0        32    
147    55     srem            32     0    0        32    
148    56     icmp            1      0    0        1     
149    58     load            32     32   0        0     
150    59     icmp            1      1    0        0     
151    38     load            32     7    25       0     
152    39     add             32     0    1        31    
153    41     icmp            1      1    0        0     
154    67     load            64     16   48       0     
155    84     load            64     64   0        0     
156    85     getelementptr   64     15   49       0     
157    86     call            32     0    0        32    
158    88     load            64     63   1        0     
159    89     add             64     63   1        0     
160    76     load            64     59   0        5     
161    77     icmp            1      1    0        0     
162    79     getelementptr   64     14   50       0     
163    80     load            64     2    0        62    
164    81     load            64     8    24       32    
165    82     trunc           32     8    24       0     
166    0      alloca          64     2    51       11    
167    1      alloca          64     2    52       10    
168    2      alloca          64     3    51       10    
169    3      alloca          64     4    49       11    
170    4      alloca          64     1    51       12    
171    5      alloca          64     2    53       9     
172    10     load            32     8    24       0     
173    11     load            32     32   0        0     
174    12     load            32     29   1        2     
175    13     ashr            32     32   0        0     
176    14     add             32     32   0        0     
177    15     load            32     1    0        31    
178    16     srem            32     1    0        31    
179    17     icmp            1      1    0        0     
180    18     select          32     8    24       0     
181    19     sub             32     32   0        0     
182    20     sub             32     8    24       0     
183    24     load            32     27   0        5     
184    25     load            32     1    0        31    
185    26     icmp            1      1    0        0     
186    28     load            64     13   51       0     
187    29     getelementptr   64     15   49       0     
188    33     load            32     31   1        0     
189    34     add             32     31   1        0     
190    24     load            32     27   0        5     
191    25     load            32     1    0        31    
192    26     icmp            1      1    0        0     
193    28     load            64     15   49       0     
194    29     getelementptr   64     14   50       0     
195    33     load            32     31   1        0     
196    34     add             32     31   1        0     
197    24     load            32     27   0        5     
198    25     load            32     1    0        31    
199    26     icmp            1      1    0        0     
200    28     load            64     14   50       0     
201    29     getelementptr   64     12   52       0     
202    33     load            32     31   1        0     
203    34     add             32     31   1        0     
204    24     load            32     27   0        5     
205    25     load            32     1    0        31    
206    26     icmp            1      1    0        0     
207    28     load            64     13   51       0     
208    29     getelementptr   64     13   51       0     
209    33     load            32     31   1        0     
210    34     add             32     31   1        0     
211    24     load            32     27   0        5     
212    25     load            32     1    0        31    
213    26     icmp            1      1    0        0     
214    28     load            64     11   53       0     
215    29     getelementptr   64     13   51       0     
216    33     load            32     31   1        0     
217    34     add             32     31   1        0     
218    24     load            32     27   0        5     
219    25     load            32     1    0        31    
220    26     icmp            1      1    0        0     
221    28     load            64     12   52       0     
222    29     getelementptr   64     13   51       0     
223    33     load            32     31   1        0     
224    34     add             32     31   1        0     
225    24     load            32     28   0        4     
226    25     load            32     2    0        30    
227    26     icmp            1      1    0        0     
228    28     load            64     16   48       0     
229    29     getelementptr   64     13   51       0     
230    33     load            32     31   1        0     
231    34     add             32     31   1        0     
232    24     load            32     28   0        4     
233    25     load            32     2    0        30    
234    26     icmp            1      1    0        0     
235    28     load            64     12   52       0     
236    29     getelementptr   64     13   51       0     
237    33     load            32     31   1        0     
238    34     add             32     31   1        0     
239    24     load            32     27   0        5     
240    25     load            32     2    0        30    
241    26     icmp            1      1    0        0     
242    28     load            64     15   49       0     
243    29     getelementptr   64     14   50       0     
244    33     load            32     31   1        0     
245    34     add             32     31   1        0     
246    24     load            32     27   0        5     
247    25     load            32     2    0        30    
248    26     icmp            1      1    0        0     
249    28     load            64     12   52       0     
250    29     getelementptr   64     14   50       0     
251    33     load            32     31   1        0     
252    34     add             32     31   1        0     
253    24     load            32     28   0        4     
254    25     load            32     3    0        29    
255    26     icmp            1      1    0        0     
256    28     load            64     15   49       0     
257    29     getelementptr   64     13   51       0     
258    33     load            32     31   1        0     
259    34     add             32     31   1        0     
260    24     load            32     28   0        4     
261    25     load            32     3    0        29    
262    26     icmp            1      1    0        0     
263    28     load            64     15   49       0     
264    29     getelementptr   64     15   49       0     
265    33     load            32     31   1        0     
266    34     add             32     31   1        0     
267    24     load            32     28   0        4     
268    25     load            32     4    0        28    
269    26     icmp            1      1    0        0     
270    28     load            64     13   51       0     
271    29     getelementptr   64     12   52       0     
272    33     load            32     31   1        0     
273    34     add             32     31   1        0     
274    24     load            32     28   0        4     
275    25     load            32     4    0        28    
276    26     icmp            1      1    0        0     
277    28     load            64     14   50       0     
278    29     getelementptr   64     13   51       0     
279    33     load            32     3    1        28    
280    34     add             32     3    1        28    
281    24     load            32     4    0        28    
282    25     load            32     28   0        4     
