cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      152    alloca          64     0    48       16    
1      153    alloca          64     2    48       14    
2      157    load            32     31   0        1     
3      158    icmp            1      1    0        0     
4      160    load            32     31   1        0     
5      100    alloca          64     3    50       11    
6      101    alloca          64     1    51       12    
7      102    alloca          64     0    56       8     
8      10     alloca          64     0    51       13    
9      11     alloca          64     2    52       10    
10     12     alloca          64     0    54       10    
11     13     alloca          64     0    53       11    
12     17     load            32     30   0        2     
13     18     icmp            1      1    0        0     
14     22     load            32     30   0        2     
15     23     icmp            1      1    0        0     
16     2      load            64     16   0        48    
17     3      mul             64     16   0        48    
18     4      add             64     16   0        48    
19     5      and             64     32   0        32    
20     7      load            64     32   0        32    
21     8      trunc           32     32   0        0     
22     25     call            32     32   0        0     
23     27     load            32     32   0        0     
24     28     load            32     25   0        7     
25     29     sdiv            32     29   0        3     
26     30     mul             32     32   0        0     
27     31     sub             32     32   0        0     
28     32     sub             32     32   0        0     
29     33     sitofp          32     32   0        0     
30     34     fdiv            32     32   0        0     
31     35     load            32     10   22       0     
32     36     sext            64     10   52       2     
33     37     load            32     9    23       0     
34     38     sext            64     9    52       3     
35     39     load            64     12   52       0     
36     40     getelementptr   64     12   52       0     
37     41     getelementptr   64     12   52       0     
38     44     load            32     1    1        30    
39     45     add             32     1    1        30    
40     22     load            32     2    0        30    
41     23     icmp            1      1    0        0     
42     49     load            32     1    1        30    
43     50     add             32     1    1        30    
44     17     load            32     2    0        30    
45     18     icmp            1      1    0        0     
46     10     alloca          64     0    51       13    
47     11     alloca          64     3    51       10    
48     12     alloca          64     1    54       9     
49     13     alloca          64     0    53       11    
50     17     load            32     30   0        2     
51     18     icmp            1      1    0        0     
52     22     load            32     30   0        2     
53     23     icmp            1      1    0        0     
54     2      load            64     15   0        49    
55     3      mul             64     16   0        48    
56     4      add             64     16   0        48    
57     5      and             64     32   0        32    
58     7      load            64     32   0        32    
59     8      trunc           32     32   0        0     
60     25     call            32     32   0        0     
61     27     load            32     32   0        0     
62     28     load            32     25   0        7     
63     29     sdiv            32     29   0        3     
64     30     mul             32     32   0        0     
65     31     sub             32     32   0        0     
66     32     sub             32     32   0        0     
67     33     sitofp          32     32   0        0     
68     34     fdiv            32     32   0        0     
69     35     load            32     15   17       0     
70     36     sext            64     14   48       2     
71     37     load            32     13   19       0     
72     38     sext            64     13   48       3     
73     39     load            64     15   49       0     
74     40     getelementptr   64     15   49       0     
75     41     getelementptr   64     15   49       0     
76     44     load            32     1    1        30    
77     45     add             32     1    1        30    
78     22     load            32     0    0        32    
79     23     icmp            1      0    0        1     
80     49     load            32     1    1        30    
81     50     add             32     1    1        30    
82     17     load            32     0    0        32    
83     18     icmp            1      0    0        1     
84     109    load            32     30   0        2     
85     110    icmp            1      1    0        0     
86     114    load            32     30   0        2     
87     115    icmp            1      1    0        0     
88     117    load            32     14   18       0     
89     118    sext            64     14   48       2     
90     119    load            32     13   19       0     
91     120    sext            64     13   48       3     
92     121    getelementptr   64     15   49       0     
93     122    getelementptr   64     15   49       0     
94     123    load            32     9    23       0     
95     124    load            32     14   18       0     
96     54     alloca          64     3    49       12    
97     55     alloca          64     4    52       8     
98     56     alloca          64     2    50       12    
99     57     alloca          64     1    50       13    
100    58     alloca          64     3    51       10    
101    59     alloca          64     2    50       12    
102    65     load            64     1    49       14    
103    69     load            32     30   0        2     
104    70     icmp            1      1    0        0     
105    72     load            64     1    49       14    
106    73     load            32     1    0        31    
107    74     load            32     10   22       0     
108    75     sext            64     10   52       2     
109    76     load            32     9    23       0     
110    77     sext            64     9    52       3     
111    78     load            64     12   52       0     
112    79     getelementptr   64     12   52       0     
113    80     getelementptr   64     12   52       0     
114    81     load            32     32   0        0     
115    82     load            32     14   18       0     
116    83     sext            64     14   48       2     
117    84     load            32     13   19       0     
118    85     sext            64     13   48       3     
119    86     load            64     15   49       0     
120    87     getelementptr   64     15   49       0     
121    88     getelementptr   64     15   49       0     
122    89     load            32     32   0        0     
123    90     fmul            32     32   0        0     
124    91     fadd            32     32   0        0     
125    92     load            64     15   49       0     
126    95     load            32     1    1        30    
127    96     add             32     1    1        30    
128    69     load            32     0    0        32    
129    70     icmp            1      0    0        1     
130    127    load            32     0    1        31    
131    128    add             32     0    1        31    
132    114    load            32     0    0        32    
133    115    icmp            1      0    0        1     
134    132    load            32     0    1        31    
135    133    add             32     0    1        31    
136    109    load            32     0    0        32    
137    110    icmp            1      0    0        1     
138    136    load            32     31   0        1     
139    137    icmp            1      1    0        0     
140    139    load            32     14   18       0     
141    140    add             32     14   18       0     
142    141    sext            64     14   48       2     
143    142    load            32     13   19       0     
144    143    add             32     13   19       0     
145    144    sext            64     13   48       3     
146    145    getelementptr   64     15   49       0     
147    146    getelementptr   64     15   49       0     
148    147    load            32     32   0        0     
149    148    fpext           64     38   0        26    
150    149    call            32     0    0        32    
151    163    load            32     0    1        31    
152    164    add             32     1    1        30    
153    157    load            32     0    0        32    
154    158    icmp            1      0    0        1     
