cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      152    alloca          32     0    11       21    
1      153    alloca          32     0    11       21    
2      154    store           32     0    0        32    
3      155    store           32     31   1        0     
4      157    load            64     5    47       12    
5      158    icmp            32     31   0        1     
6      159    br              1      1    0        0     
7      160    load            64     5    50       9     
8      161    call            32     31   1        0     
9      100    alloca          32     0    11       21    
10     101    alloca          32     1    11       20    
11     102    alloca          32     0    11       21    
12     103    store           32     31   1        0     
13     104    call            64     1    63       0     
14     0      store           64     16   0        48    
15     105    call            64     13   51       0     
16     10     alloca          32     0    12       20    
17     11     alloca          32     0    12       20    
18     12     alloca          32     0    12       20    
19     13     alloca          32     0    11       21    
20     14     store           64     13   51       0     
21     15     store           32     31   1        0     
22     17     load            64     6    49       9     
23     18     icmp            32     30   0        2     
24     19     br              1      1    0        0     
25     20     store           32     31   1        0     
26     22     load            64     8    48       8     
27     23     icmp            32     30   0        2     
28     24     br              1      1    0        0     
29     25     call            64     1    63       0     
30     2      load            64     16   48       0     
31     3      mul             64     16   0        48    
32     4      add             64     16   0        48    
33     5      and             64     16   0        48    
34     6      store           64     32   0        32    
35     7      load            64     16   48       0     
36     8      trunc           64     32   0        32    
37     9      ret             32     32   0        0     
38     26     store           32     32   0        0     
39     27     load            64     16   48       0     
40     28     load            64     15   49       0     
41     29     sdiv            32     25   0        7     
42     30     mul             32     29   0        3     
43     31     sub             32     32   0        0     
44     32     sub             32     32   0        0     
45     33     sitofp          32     32   0        0     
46     34     fdiv            32     32   0        0     
47     35     load            64     9    54       1     
48     36     sext            32     10   22       0     
49     37     load            64     8    55       1     
50     38     sext            32     9    23       0     
51     39     load            64     2    62       0     
52     40     getelementptr   64     13   51       0     
53     41     getelementptr   64     13   51       0     
54     42     store           32     32   0        0     
55     44     load            64     9    50       5     
56     45     add             32     1    1        30    
57     46     store           32     1    1        30    
58     22     load            64     10   48       6     
59     23     icmp            32     2    0        30    
60     24     br              1      1    0        0     
61     49     load            64     5    51       8     
62     50     add             32     1    1        30    
63     51     store           32     1    1        30    
64     17     load            64     10   49       5     
65     18     icmp            32     2    0        30    
66     19     br              1      1    0        0     
67     106    call            64     15   49       0     
68     10     alloca          32     0    12       20    
69     11     alloca          32     0    12       20    
70     12     alloca          32     0    12       20    
71     13     alloca          32     0    11       21    
72     14     store           64     15   49       0     
73     15     store           32     31   1        0     
74     17     load            64     5    48       11    
75     18     icmp            32     30   0        2     
76     19     br              1      1    0        0     
