cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      0      alloca          64     0    53       11    
1      1      alloca          64     0    49       15    
2      2      alloca          64     0    51       13    
3      3      alloca          64     2    48       14    
4      4      alloca          64     0    52       12    
5      5      alloca          64     1    50       13    
6      10     load            32     0    12       20    
7      11     zext            64     0    42       22    
8      12     call            64     0    47       17    
9      14     alloca          64     3    51       10    
10     15     getelementptr   64     16   48       0     
11     17     getelementptr   64     15   49       0     
12     19     getelementptr   64     15   47       2     
13     20     load            32     32   0        0     
14     21     getelementptr   64     12   50       2     
15     22     load            32     32   0        0     
16     23     call            32     0    0        32    
17     26     load            32     26   0        6     
18     27     load            32     1    0        31    
19     28     icmp            1      1    0        0     
20     30     load            32     11   20       1     
21     31     sub             32     11   20       1     
22     32     sext            64     11   50       3     
23     33     getelementptr   64     13   50       1     
24     34     load            32     32   0        0     
25     35     load            32     12   20       0     
26     36     sub             32     9    21       2     
27     37     sext            64     10   50       4     
28     38     getelementptr   64     13   49       2     
29     39     load            32     32   0        0     
30     40     add             32     32   0        0     
31     41     load            32     10   22       0     
32     42     sext            64     10   52       2     
33     43     getelementptr   64     16   48       0     
34     45     load            32     11   21       0     
35     46     sext            64     12   50       2     
36     47     getelementptr   64     15   48       1     
37     48     load            32     32   0        0     
38     49     call            32     0    0        32    
39     51     load            32     31   1        0     
40     52     add             32     31   1        0     
41     26     load            32     26   0        6     
42     27     load            32     1    0        31    
43     28     icmp            1      1    0        0     
44     30     load            32     11   20       1     
45     31     sub             32     10   20       2     
46     32     sext            64     10   50       4     
47     33     getelementptr   64     12   50       2     
48     34     load            32     32   0        0     
49     35     load            32     12   20       0     
50     36     sub             32     12   20       0     
51     37     sext            64     11   51       2     
52     38     getelementptr   64     16   48       0     
53     39     load            32     32   0        0     
54     40     add             32     32   0        0     
55     41     load            32     10   22       0     
56     42     sext            64     10   52       2     
57     43     getelementptr   64     14   50       0     
58     45     load            32     12   20       0     
59     46     sext            64     12   50       2     
60     47     getelementptr   64     15   49       0     
61     48     load            32     32   0        0     
62     49     call            32     0    0        32    
63     51     load            32     31   1        0     
64     52     add             32     31   1        0     
65     26     load            32     26   0        6     
66     27     load            32     1    0        31    
67     28     icmp            1      1    0        0     
68     30     load            32     12   20       0     
69     31     sub             32     11   21       0     
70     32     sext            64     12   50       2     
71     33     getelementptr   64     16   48       0     
72     34     load            32     32   0        0     
73     35     load            32     11   21       0     
74     36     sub             32     12   20       0     
75     37     sext            64     12   50       2     
76     38     getelementptr   64     15   49       0     
77     39     load            32     32   0        0     
78     40     add             32     32   0        0     
79     41     load            32     12   20       0     
80     42     sext            64     12   50       2     
81     43     getelementptr   64     15   49       0     
82     45     load            32     12   20       0     
83     46     sext            64     12   50       2     
84     47     getelementptr   64     14   50       0     
85     48     load            32     32   0        0     
86     49     call            32     0    0        32    
87     51     load            32     31   1        0     
88     52     add             32     31   1        0     
89     26     load            32     26   0        6     
90     27     load            32     1    0        31    
91     28     icmp            1      1    0        0     
92     30     load            32     12   20       0     
93     31     sub             32     11   21       0     
94     32     sext            64     12   50       2     
95     33     getelementptr   64     17   47       0     
96     34     load            32     32   0        0     
97     35     load            32     11   21       0     
98     36     sub             32     11   21       0     
99     37     sext            64     11   51       2     
100    38     getelementptr   64     15   49       0     
101    39     load            32     32   0        0     
102    40     add             32     32   0        0     
103    41     load            32     12   20       0     
104    42     sext            64     12   50       2     
105    43     getelementptr   64     14   50       0     
106    45     load            32     12   20       0     
107    46     sext            64     11   51       2     
108    47     getelementptr   64     13   51       0     
109    48     load            32     32   0        0     
110    49     call            32     0    0        32    
111    51     load            32     31   1        0     
112    52     add             32     31   1        0     
113    26     load            32     26   0        6     
114    27     load            32     1    0        31    
115    28     icmp            1      1    0        0     
116    30     load            32     11   21       0     
117    31     sub             32     11   21       0     
118    32     sext            64     11   51       2     
119    33     getelementptr   64     16   48       0     
120    34     load            32     32   0        0     
121    35     load            32     11   21       0     
122    36     sub             32     12   20       0     
123    37     sext            64     12   50       2     
124    38     getelementptr   64     17   47       0     
125    39     load            32     32   0        0     
126    40     add             32     32   0        0     
127    41     load            32     12   20       0     
128    42     sext            64     12   50       2     
129    43     getelementptr   64     15   49       0     
130    45     load            32     11   21       0     
131    46     sext            64     12   50       2     
132    47     getelementptr   64     15   49       0     
133    48     load            32     32   0        0     
134    49     call            32     0    0        32    
135    51     load            32     31   1        0     
136    52     add             32     31   1        0     
137    26     load            32     26   0        6     
138    27     load            32     1    0        31    
139    28     icmp            1      1    0        0     
140    30     load            32     11   21       0     
141    31     sub             32     11   21       0     
142    32     sext            64     12   50       2     
143    33     getelementptr   64     15   49       0     
144    34     load            32     32   0        0     
145    35     load            32     11   21       0     
146    36     sub             32     12   20       0     
147    37     sext            64     13   49       2     
148    38     getelementptr   64     15   49       0     
149    39     load            32     32   0        0     
150    40     add             32     32   0        0     
151    41     load            32     12   20       0     
152    42     sext            64     11   51       2     
153    43     getelementptr   64     16   48       0     
154    45     load            32     12   20       0     
155    46     sext            64     12   50       2     
156    47     getelementptr   64     16   48       0     
157    48     load            32     32   0        0     
158    49     call            32     0    0        32    
159    51     load            32     31   1        0     
160    52     add             32     31   1        0     
161    26     load            32     26   0        6     
162    27     load            32     1    0        31    
163    28     icmp            1      1    0        0     
164    30     load            32     12   20       0     
165    31     sub             32     12   20       0     
166    32     sext            64     12   50       2     
167    33     getelementptr   64     15   49       0     
168    34     load            32     32   0        0     
169    35     load            32     12   20       0     
170    36     sub             32     12   20       0     
171    37     sext            64     11   51       2     
172    38     getelementptr   64     14   50       0     
173    39     load            32     32   0        0     
174    40     add             32     32   0        0     
175    41     load            32     11   21       0     
176    42     sext            64     10   52       2     
177    43     getelementptr   64     16   48       0     
178    45     load            32     12   20       0     
179    46     sext            64     12   50       2     
180    47     getelementptr   64     15   49       0     
181    48     load            32     32   0        0     
182    49     call            32     0    0        32    
183    51     load            32     31   1        0     
184    52     add             32     31   1        0     
185    26     load            32     26   0        6     
186    27     load            32     1    0        31    
187    28     icmp            1      1    0        0     
188    30     load            32     11   21       0     
189    31     sub             32     12   20       0     
190    32     sext            64     12   50       2     
191    33     getelementptr   64     16   48       0     
192    34     load            32     32   0        0     
193    35     load            32     11   21       0     
194    36     sub             32     12   20       0     
195    37     sext            64     11   51       2     
196    38     getelementptr   64     16   48       0     
197    39     load            32     32   0        0     
198    40     add             32     32   0        0     
199    41     load            32     10   22       0     
200    42     sext            64     10   52       2     
201    43     getelementptr   64     14   50       0     
202    45     load            32     12   20       0     
203    46     sext            64     12   50       2     
204    47     getelementptr   64     17   47       0     
205    48     load            32     32   0        0     
206    49     call            32     0    0        32    
207    51     load            32     31   1        0     
208    52     add             32     31   1        0     
209    26     load            32     26   0        6     
210    27     load            32     1    0        31    
211    28     icmp            1      1    0        0     
212    30     load            32     11   21       0     
213    31     sub             32     11   21       0     
214    32     sext            64     11   51       2     
215    33     getelementptr   64     15   49       0     
216    34     load            32     32   0        0     
217    35     load            32     11   21       0     
218    36     sub             32     11   21       0     
219    37     sext            64     12   50       2     
220    38     getelementptr   64     17   47       0     
221    39     load            32     32   0        0     
222    40     add             32     32   0        0     
223    41     load            32     10   22       0     
224    42     sext            64     11   51       2     
225    43     getelementptr   64     13   51       0     
226    45     load            32     12   20       0     
227    46     sext            64     11   51       2     
228    47     getelementptr   64     17   47       0     
229    48     load            32     32   0        0     
230    49     call            32     0    0        32    
231    51     load            32     31   1        0     
232    52     add             32     31   1        0     
233    26     load            32     26   0        6     
234    27     load            32     1    0        31    
235    28     icmp            1      1    0        0     
236    30     load            32     11   21       0     
237    31     sub             32     12   20       0     
238    32     sext            64     12   50       2     
239    33     getelementptr   64     14   50       0     
240    34     load            32     32   0        0     
241    35     load            32     12   20       0     
242    36     sub             32     12   20       0     
243    37     sext            64     11   51       2     
244    38     getelementptr   64     16   48       0     
245    39     load            32     32   0        0     
246    40     add             32     32   0        0     
247    41     load            32     11   21       0     
248    42     sext            64     11   51       2     
249    43     getelementptr   64     13   51       0     
250    45     load            32     11   21       0     
251    46     sext            64     12   50       2     
252    47     getelementptr   64     15   49       0     
253    48     load            32     32   0        0     
254    49     call            32     0    0        32    
255    51     load            32     31   1        0     
256    52     add             32     31   1        0     
257    26     load            32     26   0        6     
258    27     load            32     1    0        31    
259    28     icmp            1      1    0        0     
260    30     load            32     11   21       0     
261    31     sub             32     11   21       0     
262    32     sext            64     12   50       2     
263    33     getelementptr   64     14   50       0     
264    34     load            32     32   0        0     
265    35     load            32     11   21       0     
266    36     sub             32     12   20       0     
267    37     sext            64     12   50       2     
268    38     getelementptr   64     17   47       0     
269    39     load            32     32   0        0     
270    40     add             32     32   0        0     
271    41     load            32     11   21       0     
272    42     sext            64     12   50       2     
273    43     getelementptr   64     14   50       0     
274    45     load            32     11   21       0     
275    46     sext            64     12   50       2     
276    47     getelementptr   64     14   50       0     
277    48     load            32     32   0        0     
278    49     call            32     0    0        32    
279    51     load            32     31   1        0     
280    52     add             32     31   1        0     
281    26     load            32     26   0        6     
282    27     load            32     1    0        31    
283    28     icmp            1      1    0        0     
284    30     load            32     12   20       0     
285    31     sub             32     12   20       0     
286    32     sext            64     12   50       2     
287    33     getelementptr   64     15   49       0     
288    34     load            32     32   0        0     
