cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      1376   alloca          64     0    49       15    
1      1377   alloca          64     0    51       13    
2      1378   alloca          64     0    52       12    
3      1379   alloca          64     1    49       14    
4      1380   alloca          64     1    48       15    
5      1381   alloca          64     0    50       14    
6      1385   load            32     0    2        30    
7      1386   icmp            1      0    1        0     
8      1392   load            64     2    62       0     
9      1393   getelementptr   64     4    60       0     
10     1394   load            64     4    60       0     
11     1395   getelementptr   64     14   50       0     
12     726    alloca          64     0    51       13    
13     727    alloca          64     1    52       11    
14     728    alloca          64     0    48       16    
15     731    load            64     5    59       0     
16     732    load            64     14   50       0     
17     515    alloca          64     0    51       13    
18     516    alloca          64     0    52       12    
19     517    alloca          64     0    49       15    
20     518    alloca          64     0    54       10    
21     519    alloca          64     0    49       15    
22     520    alloca          64     1    52       11    
23     521    alloca          64     2    52       10    
24     522    alloca          64     4    51       9     
25     523    alloca          64     0    54       10    
26     524    alloca          64     0    50       14    
27     525    alloca          64     0    51       13    
28     526    alloca          64     0    0        64    
29     527    alloca          64     0    49       15    
30     530    trunc           8      0    8        0     
31     534    load            32     9    23       0     
32     539    load            8      0    8        0     
33     540    icmp            1      0    1        0     
34     542    load            32     0    23       9     
35     543    sext            64     0    55       9     
36     544    load            64     0    56       8     
37     545    getelementptr   64     0    56       8     
38     546    load            8      0    0        8     
39     547    sext            32     0    0        32    
40     548    load            8      0    0        8     
41     549    sext            32     0    0        32    
42     550    icmp            1      0    1        0     
43     552    load            32     0    23       9     
44     553    sext            64     0    55       9     
45     554    load            64     0    56       8     
46     555    getelementptr   64     0    57       7     
47     556    load            8      0    0        8     
48     557    sext            32     0    0        32    
49     558    icmp            1      0    1        0     
50     560    phi             1      0    1        0     
51     562    load            32     0    0        32    
52     564    load            32     1    20       11    
53     565    sext            64     1    51       12    
54     566    load            64     0    49       15    
55     567    getelementptr   64     0    50       14    
56     568    load            8      0    0        8     
57     569    sext            32     0    0        32    
58     570    icmp            1      1    0        0     
59     577    load            32     0    20       12    
60     578    sext            64     0    52       12    
61     579    load            64     0    48       16    
62     580    getelementptr   64     0    48       16    
63     581    load            8      1    0        7     
64     582    sext            32     1    0        31    
65     583    icmp            1      1    0        0     
66     594    load            32     0    20       12    
67     595    sext            64     0    52       12    
68     596    load            64     0    50       14    
69     597    getelementptr   64     0    48       16    
70     598    load            8      0    0        8     
71     599    sext            32     0    0        32    
72     600    icmp            1      0    0        1     
73     618    load            32     0    20       12    
74     619    sext            64     0    52       12    
75     620    load            64     0    50       14    
76     621    getelementptr   64     0    49       15    
77     622    load            8      0    0        8     
78     623    sext            32     0    0        32    
79     624    icmp            1      0    1        0     
80     637    load            32     0    20       12    
81     638    sext            64     0    52       12    
82     639    load            64     0    48       16    
83     640    getelementptr   64     0    48       16    
84     641    load            8      0    0        8     
85     642    sext            32     0    0        32    
86     643    icmp            1      0    0        1     
87     667    load            64     15   49       0     
88     15     alloca          64     0    49       15    
89     16     alloca          64     0    52       12    
90     17     alloca          64     2    54       8     
91     18     alloca          64     0    54       10    
92     19     alloca          64     0    48       16    
93     20     trunc           8      0    8        0     
94     25     load            64     0    55       9     
95     26     load            32     0    24       8     
96     27     load            32     0    1        31    
97     28     icmp            1      0    1        0     
