cycle  INDEX  OPCODE          WIDTH  SDC  SYMPTOM  TRUE  
0      479    alloca          64     0    49       15    
1      480    alloca          64     0    49       15    
2      481    alloca          64     2    55       7     
3      482    alloca          64     0    49       15    
4      483    alloca          64     0    54       10    
5      484    alloca          64     2    49       13    
6      485    alloca          64     0    52       12    
7      489    load            32     2    0        30    
8      490    icmp            1      1    0        0     
9      499    load            32     0    1        31    
10     500    icmp            1      0    1        0     
11     502    load            32     0    32       0     
12     503    load            32     5    26       1     
13     504    sext            64     5    55       4     
14     505    load            64     5    58       1     
15     506    getelementptr   64     5    59       0     
16     507    load            64     14   49       1     
17     508    call            32     22   10       0     
18     443    alloca          64     0    52       12    
19     444    alloca          64     1    51       12    
20     445    alloca          64     4    53       7     
21     446    alloca          64     1    52       11    
22     447    alloca          64     2    51       11    
23     18     alloca          64     1    50       13    
24     19     call            64     0    53       11    
25     20     bitcast         64     0    52       12    
26     22     load            64     0    49       15    
27     23     getelementptr   64     0    48       16    
28     25     load            64     0    49       15    
29     26     getelementptr   64     0    48       16    
30     28     load            64     0    50       14    
31     29     getelementptr   64     0    51       13    
32     31     load            64     1    54       9     
33     450    call            64     1    53       10    
34     454    load            32     28   0        4     
35     455    load            32     2    0        30    
36     456    icmp            1      1    0        0     
37     458    load            32     9    7        16    
38     408    alloca          64     1    52       11    
39     409    alloca          64     0    53       11    
40     411    load            32     32   0        0     
41     412    add             32     32   0        0     
42     0      alloca          64     0    51       13    
43     1      alloca          64     0    54       10    
44     3      call            64     0    63       1     
45     4      bitcast         64     0    63       1     
46     6      load            64     0    49       15    
47     7      getelementptr   64     0    50       14    
48     9      load            64     0    49       15    
49     10     getelementptr   64     0    49       15    
50     12     load            32     32   0        0     
51     13     load            64     0    51       13    
52     14     getelementptr   64     0    52       12    
53     16     load            64     0    63       1     
54     414    call            64     0    63       1     
55     416    load            32     9    7        16    
56     417    trunc           16     9    7        0     
57     418    load            64     14   50       0     
58     419    getelementptr   64     12   52       0     
59     421    load            32     1    10       21    
60     422    add             32     2    10       20    
61     424    load            64     13   51       0     
62     459    call            64     14   50       0     
63     461    load            64     0    53       11    
64     462    load            64     15   49       0     
